레포지토리,통계단위,연도,월,주차,날짜,배포수
stackflow,yearly,2025,,,,20
stackflow,yearly,2024,,,,10
seed-design,yearly,2025,,,,30
stackflow,weekly,2025,,22,,2
stackflow,weekly,2025,,20,,3
stackflow,weekly,2025,,15,,2
stackflow,weekly,2025,,13,,2
stackflow,weekly,2025,,11,,2
stackflow,weekly,2025,,9,,1
stackflow,weekly,2025,,7,,3
stackflow,weekly,2025,,4,,5
stackflow,weekly,2024,,51,,4
stackflow,weekly,2024,,47,,1
stackflow,weekly,2024,,45,,1
stackflow,weekly,2024,,43,,1
stackflow,weekly,2024,,39,,3
seed-design,weekly,2025,,23,,10
seed-design,weekly,2025,,22,,20
stackflow,daily,2025,5,22,2025-05-29,2
stackflow,daily,2025,5,20,2025-05-15,2
stackflow,daily,2025,5,20,2025-05-12,1
stackflow,daily,2025,4,15,2025-04-09,2
stackflow,daily,2025,3,13,2025-03-27,2
stackflow,daily,2025,3,11,2025-03-14,2
stackflow,daily,2025,2,9,2025-02-24,1
stackflow,daily,2025,2,7,2025-02-14,3
stackflow,daily,2025,1,4,2025-01-22,5
stackflow,daily,2024,12,51,2024-12-18,4
stackflow,daily,2024,11,47,2024-11-19,1
stackflow,daily,2024,11,45,2024-11-08,1
stackflow,daily,2024,10,43,2024-10-23,1
stackflow,daily,2024,9,39,2024-09-26,3
seed-design,daily,2025,6,23,2025-06-02,10
seed-design,daily,2025,5,22,2025-05-30,20
